"idnr" "jahrgang" "geschl" "stunzahl" "hausauf" "abschalt" "leistung" "begabung" "urteil" "englisch" "deutsch" "mathe" "zeng" "zdeutsch" "zmathe" "index" "leist"
4 1 1 36 2 2 7 6 6 1 4 3 -1.82811601612004 -1.75857529457618 -1.47087420112753 1 3
51 1 1 35 2 1 2 4 5 2 4 3 -1.31746908424293 -1.75857529457618 -1.47087420112753 1 1
3 1 1 35 4 2 6 5 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
1 1 1 30 3 2 6 5 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
5 1 1 36 4 2 5 6 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
6 1 1 35 3 1 3 8 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 1
7 1 1 35 3 2 7 5 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 3
8 1 1 35 3 2 6 8 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
9 1 1 33 3 1 5 5 8 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
10 1 1 29 0 NA 5 9 8 0 10 7 -2.33876294799714 1.1691305232532 0.670136280863052 2 2
11 1 1 36 1 1 7 8 5 1 2 1 -1.82811601612004 -2.73447723385264 -2.54137944212282 1 3
12 1 1 39 1 2 5 5 3 1 2 1 -1.82811601612004 -2.73447723385264 -2.54137944212282 1 2
13 1 1 31 3 2 5 7 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
14 1 1 36 2 1 7 6 7 2 4 3 -1.31746908424293 -1.75857529457618 -1.47087420112753 1 3
15 1 1 36 3 1 3 5 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 1
16 1 1 36 4 2 6 6 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
17 1 1 33 4 2 2 7 8 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 1
18 1 1 33 5 2 5 5 5 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
19 1 1 33 3 2 6 5 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
20 1 1 36 4 2 7 8 8 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
21 1 1 36 2 2 6 7 5 2 4 3 -1.31746908424293 -1.75857529457618 -1.47087420112753 1 2
22 1 1 36 4 1 4 5 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
23 1 1 36 4 1 7 7 7 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
24 1 1 36 3 1 5 5 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
25 1 1 39 3 2 7 7 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 3
26 1 1 36 6 1 6 7 7 9 12 10 2.25705943889681 2.14503246252966 2.27589414235599 3 2
27 1 1 36 4 1 3 5 3 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 1
28 1 1 32 3 2 5 7 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
29 1 1 35 4 2 8 8 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 3
30 1 1 32 4 1 5 7 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
31 1 1 36 3 1 5 6 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
32 1 1 36 2 1 5 6 5 2 4 3 -1.31746908424293 -1.75857529457618 -1.47087420112753 1 2
33 1 1 33 3 2 7 8 6 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 3
34 1 1 32 2 2 3 6 5 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 1
35 1 1 29 5 1 4 4 5 8 11 9 1.7464125070197 1.65708149289143 1.74064152185834 3 2
36 1 1 34 3 2 5 5 5 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 2
37 1 1 36 4 2 5 5 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
38 1 1 37 3 2 8 8 8 3 6 4 -0.806822152365826 -0.782673355299719 -0.935621580629883 2 3
39 1 1 32 4 1 5 7 6 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
40 1 1 33 4 NA 5 5 5 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
41 1 1 33 2 1 8 8 6 2 5 3 -1.31746908424293 -1.27062432493795 -1.47087420112753 1 3
42 1 1 35 3 2 6 7 6 3 6 5 -0.806822152365826 -0.782673355299719 -0.400368960132238 2 2
43 1 1 32 4 1 5 6 4 5 8 6 0.214471711388384 0.19322858397674 0.134883660365407 2 2
44 1 1 34 3 2 7 7 5 3 6 5 -0.806822152365826 -0.782673355299719 -0.400368960132238 2 3
45 1 1 33 3 2 5 7 5 3 6 5 -0.806822152365826 -0.782673355299719 -0.400368960132238 2 2
46 1 1 40 3 1 5 7 6 3 6 5 -0.806822152365826 -0.782673355299719 -0.400368960132238 2 2
47 1 1 31 3 1 6 9 7 3 6 5 -0.806822152365826 -0.782673355299719 -0.400368960132238 2 2
48 1 1 30 3 1 5 5 5 3 6 5 -0.806822152365826 -0.782673355299719 -0.400368960132238 2 2
49 1 1 33 3 2 5 5 5 4 6 5 -0.296175220488721 -0.782673355299719 -0.400368960132238 2 2
